0181,Fujian Holdings Limited,http://www.fujianholdings.com
0182,Concord New Energy Group Limited,http://www.irasia.com/listco/hk/chinawindpower
0183,Winfull Group Holdings Limited,http://www.winfullgroup.hk
0184,Keck Seng Investments (Hong Kong) Limited,http://www.keckseng.com.hk
0185,ZH International Holdings Limited,http://www.zhsuccess.com
0186,The Grande Holdings Limited,http://www.grandeholdings.com
0187,Beijing Jingcheng Machinery Electric Company Limited,http://www.btic.com.cn
0188,Sunwah Kingsway Capital Holdings Limited,http://www.equitynet.com.hk/swkingsway
0189,Dongyue Group Limited,http://www.dongyuechem.com
0190,HKC (Holdings) Limited,http://www.hkcholdings.com
0191,Lai Sun Garment (International) Limited,http://www.laisun.com
0193,Capital Estate Limited,http://www.capitalestate.com.hk
0194,Liu Chong Hing Investment Limited,http://www.lchi.com.hk
0195,L’sea Resources International Holdings Limited,http://www.lsea-resources.com
0196,Honghua Group Limited,http://www.hh-gltd.com
0197,Heng Tai Consumables Group Limited,http://www.hengtai.com.hk
0198,SMI Holdings Group Limited,http://smi198.todayir.com
0199,ITC Properties Group Limited,http://www.itcproperties.com
0200,Melco International Development Limited,http://www.melco-group.com
0201,Magnificent Hotel Invetments Limited,http://www.magnificenthotelinv.com
0202,EverChina Int’l Holdings Company Limited,http://www.everchina202.com.hk
0204,China Investment Development Limited,http://www.cidl.com.hk
0205,SEEC Media Group Limited,http://www.irasia.com/listco/hk/seecmedia/index.htm
0206,TSC Group Holdings Limited,http://www.t-s-c.com
0207,Joy City Property Limited,http://www.joy-cityproperty.com
0208,Polytec Asset Holdings Limited,http://www.polytecasset.com
0209,Winshine Science Company Limited,http://www.winshine.com
0210,Daphne International Holdings Limited,http://www.daphneholdings.com
0211,Styland Holdings Limited,http://www.irasia.com/listco/hk/styland/index.htm
0212,Nanyang Holdings Limited,http://www.nanyangholdingslimited.com
0213,National Electronics Holdings Limited,http://www.irasia.com/listco/hk/national/index.htm
0214,Asia Orient Holdings Limited,http://www.asiaorient.com.hk
0215,Hutchison Telecommunications Hong Kong Holdings Limited,http://www.hthkh.com
0216,Chinney Investments Limited,http://www.chinney.com.hk
0217,China Chengtong Development Group Limited,http://www.irasia.com/listco/hk/chengtong
0218,Shenwan Hongyuan (H.K.) Limited,http://www.swhyhk.com
0219,Shun Ho Property Investments Limited,http://www.shunho.com.hk
0220,Uni-President China Holdings Ltd.,http://www.uni-president.com.cn
0221,Easy One Financial Group Limited,http://www.pngresources.com/index.php?option=com_content&view=article&id=37&Itemid=42&lang=en
0222,Min Xin Holdings Limited,http://www.minxin.com.hk
0223,Elife Holdings Limited,http://www.capitalfp.com.hk/eng/index.jsp?co=223
0224,Pioneer Global Group Limited,http://www.irasia.com/listco/hk/pioneer/index.htm
0225,Pokfulam Development Company Limited,http://www.pokfulam.com.hk
0226,Lippo Limited,http://www.lippoltd.com.hk
0227,First Shanghai Investments Limited,http://www.firstshanghai.com.hk
0228,China Energy Development Holdings Limited,http://www.cnenergy.com.hk
0229,Raymond Industrial Limited,http://www.raymondfinance.com
0230,Minmetals Land Limited,http://www.minmetalsland.com
0231,Ping An Securities Group (Holdings) Limited,http://www.pingansecgp.com
0232,AVIC International Holding (HK) Limited,http://www.avic.com.hk
0233,Mingyuan Medicare Development Company Limited,http://www.mymedicare.com.hk
0234,New Century Group Hong Kong Limited,http://www.ncgrp.com.hk
0235,China Strategic Holdings Limited,http://www.cshldgs.com
0236,San Miguel Brewery Hong Kong Ltd.,http://info.sanmiguel.com.hk
0237,Safety Godown Company Limited,http://www.safetygodown.com
0238,Evergreen International Holdings Limited,http://www.evergreen-intl.com
0239,Pak Fah Yeow International Limited,http://www.pakfahyeow.com
0240,Build King Holdings Limited,http://www.buildking.hk
0241,Alibaba Health Information Technology Limited,http://www.irasia.com/listco/hk/alihealth
0242,Shun Tak Holdings Limited,http://www.shuntakgroup.com
0243,QPL International Holdings Limited,http://www.qpl.com
0244,The Sincere Company Limited,http://www.irasia.com/listco/hk/sincere/index.htm
0245,China Minsheng Financial Holding Corporation Limited,http://www.sevenstar.hk
0246,Real Gold Mining Limited,http://www.realgoldmining.com
0247,Tsim Sha Tsui Properties Limited,http://www.sino.com
0248,HKC International Holdings Limited,http://www.hkc.com.hk
0250,Sino-i Technology Limited,http://www.sino-i.com
0251,S E A Holdings Limited,http://www.seagroup.com.hk/investor_en.php
0252,Southeast Asia Properties & Finance Limited,http://www.seapnf.com.hk
0253,Shun Ho Holdings Limited,http://www.shunho.com.hk
0254,National United Resources Holdings Limited,http://www.nur.com.hk
0255,Lung Kee (Bermuda) Holdings Limited,http://www.irasia.com/listco/hk/lkm
0256,Citychamp Watch & Jewellery Group Limited,http://www.irasia.com/listco/hk/citychamp
0257,China Everbright International Limited,http://www.ebchinaintl.com/en/investors/announce.php
0258,Tomson Group Limited,http://www.tomson.com.hk
0259,Yeebo (International Holdings) Limited,http://www.yeebo.com.hk
0260,AVIC Joy Holdings (HK) Limited,http://www.avicjoyhk.com
0261,CCT Land Holdings Limited,http://www.cctland.com/eng/investor/statutory.php
0262,Deson Development International Holdings Limited,http://www.deson.com
0263,GT Group Holdings Limited,http://www.gtghl.com
0264,Ascent International Holdings Limited,http://www.irasia.com/listco/hk/ascent/index.htm
0265,Orient Victory China Holdings Limited,http://www.orientvictorychina.com.hk
0266,Tian Teck Land Limited,http://ttll.etnet.com.hk/ca-calendar-e.html
0267,CITIC Limited,http://www.citic.com
0268,Kingdee International Software Group Company Limited,http://www.kingdee.com
0269,China Resources and Transportation Group Limited,http://www.crtg.com.hk
0270,Guangdong Investment Limited,http://www.gdi.com.hk
0271,Dan Form Holdings Company Limited,http://www.danform.com.hk
0272,Shui On Land Limited,http://www.shuionland.com
0273,Mason Financial Holdings Limited,http://www.irasia.com/listco/hk/mason/index.htm
0274,China Billion Resources Limited,http://www.chinabillion.net
0275,Master Glory Group Limited,http://www.mggl.com.hk
0276,Mongolia Energy Corporation Limited,http://www.mongolia-energy.com
0277,Tern Properties Company Limited,http://www.tern.hk
0278,Wah Ha Realty Company Limited,http://www.wahha.com/e_investor_anno.asp
0279,Freeman FinTech Corporation Limited,http://www.freeman279.com
0280,King Fook Holdings Limited,http://www.irasia.com/listco/hk/kingfook/index.htm
0281,Rivera (Holdings) Limited,http://www.rivera.com.hk
0282,Next Digital Limited,http://www.nextdigital.com.hk/investor
0283,Goldin Properties Holdings Limited,http://www.goldinppt.com
0285,BYD Electronics (International) Company Limited,http://www.byd-electronic.com
0286,Common Splendor International Health Industry Group Limited,http://www.cs-ih.com
0287,Winfair Investment Company Limited,http://winfairinvestment.com
0288,WH Group Limited,http://www.wh-group.com
0289,Wing On Company International Limited,http://www.wingonet.com
0290,China Fortune Financial Group Limited,http://www.290.com.hk
0291,China Resources Beer (Holdings) Company Limited,http://www.crbeer.com.hk
0292,Asia Standard Hotel Group Limited,http://www.asiastandardhotelgroup.com
